ts_code,symbol,name,area,industry,list_date,delist_date,list_status,exchange,market
920344.BJ,920344,三元基因,北京,生物制药,20210108,,L,BSE,北交所
920339.BJ,920339,恒太照明,江苏,家用电器,20221117,,L,BSE,北交所
920304.BJ,920304,迪尔化工,山东,化工原料,20230418,,L,BSE,北交所
920300.BJ,920300,辰光医疗,上海,医疗保健,20221207,,L,BSE,北交所
920299.BJ,920299,灿能电力,江苏,电气设备,20220610,,L,BSE,北交所
920284.BJ,920284,灵鸽科技,江苏,专用机械,20231219,,L,BSE,北交所
920278.BJ,920278,鹿得医疗,江苏,医疗保健,20200727,,L,BSE,北交所
920275.BJ,920275,驱动力,广东,农业综合,20210125,,L,BSE,北交所
920274.BJ,920274,宏裕包材,湖北,广告包装,20230818,,L,BSE,北交所
920273.BJ,920273,一致魔芋,湖北,食品,20230221,,L,BSE,北交所
920271.BJ,920271,邦德股份,山东,汽车配件,20220602,,L,BSE,北交所
920270.BJ,920270,天铭科技,浙江,汽车配件,20220902,,L,BSE,北交所
920267.BJ,920267,鑫汇科,深圳,元器件,20220527,,L,BSE,北交所
920266.BJ,920266,生物谷,云南,中成药,20200727,,L,BSE,北交所
920263.BJ,920263,中航泰达,北京,环境保护,20200727,,L,BSE,北交所
920262.BJ,920262,太湖雪,江苏,纺织,20221230,,L,BSE,北交所
920261.BJ,920261,一诺威,山东,化工原料,20230403,,L,BSE,北交所
920260.BJ,920260,中寰股份,四川,专用机械,20211115,,L,BSE,北交所
920252.BJ,920252,天宏锂电,浙江,电气设备,20230119,,L,BSE,北交所
920249.BJ,920249,利尔达,浙江,元器件,20230217,,L,BSE,北交所
920247.BJ,920247,华密新材,河北,橡胶,20221223,,L,BSE,北交所
920245.BJ,920245,威博液压,江苏,机械基件,20220106,,L,BSE,北交所
920242.BJ,920242,建邦科技,山东,汽车配件,20200727,,L,BSE,北交所
920239.BJ,920239,长虹能源,四川,电气设备,20210209,,L,BSE,北交所
920237.BJ,920237,力佳科技,湖北,电气设备,20221125,,L,BSE,北交所
920230.BJ,920230,欧康医药,四川,生物制药,20221209,,L,BSE,北交所
920227.BJ,920227,美登科技,浙江,软件服务,20221228,,L,BSE,北交所
920225.BJ,920225,利通科技,河南,橡胶,20210225,,L,BSE,北交所
920223.BJ,920223,荣亿精密,浙江,机械基件,20220609,,L,BSE,北交所
920221.BJ,920221,易实精密,江苏,汽车配件,20230608,,L,BSE,北交所
920212.BJ,920212,智新电子,山东,元器件,20210608,,L,BSE,北交所
920208.BJ,920208,青矩技术,北京,建筑工程,20230629,,L,BSE,北交所
920207.BJ,920207,众诚科技,河南,软件服务,20220923,,L,BSE,北交所
920204.BJ,920204,沪江材料,江苏,塑料,20220118,,L,BSE,北交所
