model,factor_id,engine,n,mean,std,min,max,unique_ratio,is_constant,rule_score_mean,rule_score_std
listing_close_v1,B_NATAL_012,bazi,500,0.5017,0.1623,0.1177,0.9843,0.5260,False,5.0171,1.6226
listing_close_v1,B_NATAL_013,bazi,500,-0.0972,0.4921,-0.9904,0.9311,0.0280,False,4.6799,3.4332
listing_close_v1,B_NATAL_014,bazi,500,0.1859,0.1070,0.0000,0.5753,0.2820,False,4.5886,2.5267
listing_close_v1,B_NATAL_015,bazi,500,0.1768,0.1104,0.0000,0.4847,0.2800,False,4.3838,2.6745
listing_close_v1,B_NATAL_016,bazi,500,0.6105,0.3959,-0.7455,1.0000,0.8340,False,6.7188,2.7939
listing_close_v1,B_NATAL_017,bazi,500,0.8260,0.2144,0.0000,1.0000,0.0080,False,8.2601,2.1435
listing_close_v1,B_NATAL_018,bazi,500,-0.0200,0.9998,-1.0000,1.0000,0.0040,False,5.0000,0.0000
listing_close_v1,B_YEAR_001,bazi,500,0.3464,0.6936,-1.0000,1.0000,0.0100,False,7.0880,3.1420
listing_close_v1,B_YEAR_002,bazi,500,0.3464,0.6936,-1.0000,1.0000,0.0100,False,7.0880,3.1420
listing_close_v1,B_YEAR_003,bazi,500,0.3880,0.4873,0.0000,1.0000,0.0040,False,3.8800,4.8729
listing_close_v1,B_YEAR_004,bazi,500,0.3840,0.4864,0.0000,1.0000,0.0040,False,3.8400,4.8636
listing_close_v1,B_YEAR_005,bazi,500,0.1560,0.2696,0.0000,1.0000,0.0060,False,1.5600,2.6956
listing_close_v1,B_YEAR_006,bazi,500,0.0960,0.2044,0.0000,1.0000,0.0060,False,0.9600,2.0441
listing_close_v1,B_YEAR_007,bazi,500,0.1180,0.2238,0.0000,1.0000,0.0060,False,1.1800,2.2378
listing_close_v1,B_YEAR_008,bazi,500,0.1540,0.2575,0.0000,1.0000,0.0060,False,1.5400,2.5746
listing_close_v1,B_YEAR_009,bazi,500,0.2620,0.8564,-1.0000,1.0000,0.0060,False,8.0200,3.9849
listing_close_v1,B_YEAR_010,bazi,500,0.0340,0.1812,0.0000,1.0000,0.0040,False,0.3400,1.8123
listing_close_v1,Z_AGE_001,ziwei,500,0.4456,0.3049,-0.1325,0.8435,0.0260,False,4.5669,2.8791
listing_close_v1,Z_AGE_002,ziwei,500,-0.1540,0.2308,-0.5000,0.0000,0.0040,False,1.2320,1.8467
listing_close_v1,Z_CAREER_001,ziwei,500,0.3778,0.3375,-0.2605,0.8701,0.0420,False,4.0875,2.9928
listing_close_v1,Z_CAREER_002,ziwei,500,0.5890,0.3558,0.0000,1.0000,0.0060,False,2.9450,1.7789
listing_close_v1,Z_CAREER_003,ziwei,500,-0.2370,0.3215,-1.0000,0.0000,0.0060,False,1.8960,2.5716
listing_close_v1,Z_CAREER_004,ziwei,500,0.1660,0.3721,0.0000,1.0000,0.0040,False,1.3280,2.9766
listing_close_v1,Z_DAY_001,ziwei,500,-0.0145,0.6277,-1.0000,1.0000,0.0240,False,2.7620,1.4927
listing_close_v1,Z_DAY_002,ziwei,500,0.3876,0.3200,-0.2605,0.8701,0.0420,False,4.1601,2.8206
listing_close_v1,Z_DAY_003,ziwei,500,-0.1607,0.1971,-0.6667,0.0000,0.0060,False,1.2854,1.5770
listing_close_v1,Z_DAY_004,ziwei,500,0.0138,0.6828,-1.0000,1.0000,0.0240,False,3.0147,1.6041
listing_close_v1,Z_DAY_005,ziwei,500,0.0865,0.6414,-1.0000,1.0000,0.0240,False,2.8838,1.4681
listing_close_v1,Z_DECADE_001,ziwei,500,0.3865,0.3347,-0.2605,0.8701,0.0440,False,4.2879,2.7844
listing_close_v1,Z_DECADE_002,ziwei,500,-0.2380,0.3168,-1.0000,0.0000,0.0060,False,1.9040,2.5343
listing_close_v1,Z_FIN_001,ziwei,500,0.3831,0.3381,-0.2605,0.8701,0.0420,False,4.1983,2.9128
