hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-CON-ZW-HL-RAW-001,listing_open_v1,OOS,raw,2026,54,0.005882,0.648148,1
HYP-CON-ZW-HL-RAW-001,listing_close_v1,OOS,raw,2023,60,-0.034056,0.4,-1
HYP-CON-ZW-HL-RAW-001,listing_close_v1,OOS,raw,2024,170,-0.086209,0.282353,-1
HYP-CON-ZW-HL-RAW-001,listing_close_v1,OOS,raw,2025,124,-0.006002,0.508065,-1
HYP-CON-ZW-HL-RAW-001,listing_close_v1,OOS,raw,2026,86,-0.009765,0.593023,-1
HYP-CON-ZW-HL-RAW-001,ipo_approx_v1,OOS,raw,2023,62,-0.014637,0.419355,-1
HYP-CON-ZW-HL-RAW-001,ipo_approx_v1,OOS,raw,2024,132,-0.086764,0.257576,-1
HYP-CON-ZW-HL-RAW-001,ipo_approx_v1,OOS,raw,2025,138,-0.00841,0.492754,-1
HYP-CON-ZW-HL-RAW-001,ipo_approx_v1,OOS,raw,2026,72,0.03968,0.625,1
HYP-CON-ZW-HL-CAL-001,listing_open_v1,OOS,calibrated,2023,24,-0.031439,0.291667,-1
HYP-CON-ZW-HL-CAL-001,listing_open_v1,OOS,calibrated,2024,69,-0.084206,0.217391,-1
HYP-CON-ZW-HL-CAL-001,listing_open_v1,OOS,calibrated,2025,54,-0.032423,0.407407,-1
HYP-CON-ZW-HL-CAL-001,listing_open_v1,OOS,calibrated,2026,25,0.038024,0.72,1
HYP-CON-ZW-HL-CAL-001,listing_close_v1,OOS,calibrated,2023,8,0.045143,0.625,1
HYP-CON-ZW-HL-CAL-001,listing_close_v1,OOS,calibrated,2024,64,-0.118373,0.21875,-1
HYP-CON-ZW-HL-CAL-001,listing_close_v1,OOS,calibrated,2025,43,-0.006278,0.511628,-1
HYP-CON-ZW-HL-CAL-001,listing_close_v1,OOS,calibrated,2026,28,0.005694,0.642857,1
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2023,34,-0.027801,0.382353,-1
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2024,78,-0.11721,0.205128,-1
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2025,59,0.011239,0.644068,1
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2026,29,-0.01394,0.551724,-1
HYP-CON-ALL3-RAW-001,listing_open_v1,OOS,raw,2023,46,-0.039505,0.369565,-1
HYP-CON-ALL3-RAW-001,listing_open_v1,OOS,raw,2024,115,-0.060503,0.286957,-1
HYP-CON-ALL3-RAW-001,listing_open_v1,OOS,raw,2025,106,-0.014778,0.471698,-1
HYP-CON-ALL3-RAW-001,listing_open_v1,OOS,raw,2026,53,0.004024,0.641509,1
HYP-CON-ALL3-RAW-001,listing_close_v1,OOS,raw,2023,55,-0.023397,0.4,-1
HYP-CON-ALL3-RAW-001,listing_close_v1,OOS,raw,2024,165,-0.085586,0.290909,-1
HYP-CON-ALL3-RAW-001,listing_close_v1,OOS,raw,2025,121,-0.002309,0.512397,-1
HYP-CON-ALL3-RAW-001,listing_close_v1,OOS,raw,2026,86,-0.009765,0.593023,-1
HYP-CON-ALL3-RAW-001,ipo_approx_v1,OOS,raw,2023,62,-0.014637,0.419355,-1
HYP-CON-ALL3-RAW-001,ipo_approx_v1,OOS,raw,2024,123,-0.080516,0.260163,-1
HYP-CON-ALL3-RAW-001,ipo_approx_v1,OOS,raw,2025,135,-0.007792,0.496296,-1
HYP-CON-ALL3-RAW-001,ipo_approx_v1,OOS,raw,2026,68,0.036194,0.602941,1
HYP-CON-ALL3-CAL-001,listing_open_v1,OOS,calibrated,2023,3,-0.014614,0.333333,-1
HYP-CON-ALL3-CAL-001,listing_open_v1,OOS,calibrated,2024,29,-0.12443,0.206897,-1
HYP-CON-ALL3-CAL-001,listing_open_v1,OOS,calibrated,2025,22,-0.026205,0.5,-1
HYP-CON-ALL3-CAL-001,listing_open_v1,OOS,calibrated,2026,10,-0.031272,0.5,-1
HYP-CON-ALL3-CAL-001,listing_close_v1,OOS,calibrated,2023,1,0.043112,1.0,1
HYP-CON-ALL3-CAL-001,listing_close_v1,OOS,calibrated,2024,19,-0.156562,0.157895,-1
HYP-CON-ALL3-CAL-001,listing_close_v1,OOS,calibrated,2025,11,0.009141,0.454545,1
HYP-CON-ALL3-CAL-001,listing_close_v1,OOS,calibrated,2026,9,0.08673,0.888889,1
HYP-CON-ALL3-CAL-001,ipo_approx_v1,OOS,calibrated,2023,6,-0.027704,0.166667,-1
HYP-CON-ALL3-CAL-001,ipo_approx_v1,OOS,calibrated,2024,23,-0.06975,0.304348,-1
HYP-CON-ALL3-CAL-001,ipo_approx_v1,OOS,calibrated,2025,32,0.054617,0.78125,1
