hypothesis_id,birth_model,rank_within_experiment,stock_code,event_count,sum_excess_return,mean_excess_return,abs_mass_share,share_of_total
HYP-CON-ALL3-CAL-001,listing_open_v1,19,301091,1,-0.123556,-0.123556,0.015294,0.027206
HYP-CON-ALL3-CAL-001,listing_open_v1,20,002624,1,-0.123221,-0.123221,0.015252,0.027132
HYP-CON-ALL3-CAL-001,listing_close_v1,1,300742,2,-0.873075,-0.436538,0.18736,0.425798
HYP-CON-ALL3-CAL-001,listing_close_v1,2,300495,2,-0.842041,-0.421021,0.1807,0.410663
HYP-CON-ALL3-CAL-001,listing_close_v1,3,300551,1,-0.338408,-0.338408,0.072621,0.165041
HYP-CON-ALL3-CAL-001,listing_close_v1,4,300219,2,-0.317806,-0.158903,0.0682,0.154994
HYP-CON-ALL3-CAL-001,listing_close_v1,5,603931,2,0.271608,0.135804,0.058286,-0.132463
HYP-CON-ALL3-CAL-001,listing_close_v1,6,600262,1,0.261408,0.261408,0.056097,-0.127489
HYP-CON-ALL3-CAL-001,listing_close_v1,7,600811,2,-0.241438,-0.120719,0.051812,0.117749
HYP-CON-ALL3-CAL-001,listing_close_v1,8,300391,1,-0.172283,-0.172283,0.036971,0.084022
HYP-CON-ALL3-CAL-001,listing_close_v1,9,002493,3,0.157941,0.052647,0.033894,-0.077028
HYP-CON-ALL3-CAL-001,listing_close_v1,10,000823,1,-0.155162,-0.155162,0.033297,0.075672
HYP-CON-ALL3-CAL-001,listing_close_v1,11,000906,3,0.135845,0.045282,0.029152,-0.066252
HYP-CON-ALL3-CAL-001,listing_close_v1,12,002275,1,0.108472,0.108472,0.023278,-0.052902
HYP-CON-ALL3-CAL-001,listing_close_v1,13,000023,1,-0.096147,-0.096147,0.020633,0.046891
HYP-CON-ALL3-CAL-001,listing_close_v1,14,600705,3,0.095691,0.031897,0.020535,-0.046668
HYP-CON-ALL3-CAL-001,listing_close_v1,15,688689,1,0.080732,0.080732,0.017325,-0.039373
HYP-CON-ALL3-CAL-001,listing_close_v1,16,300188,1,-0.07064,-0.07064,0.015159,0.034451
HYP-CON-ALL3-CAL-001,listing_close_v1,17,300068,1,0.069966,0.069966,0.015015,-0.034122
HYP-CON-ALL3-CAL-001,listing_close_v1,18,301072,1,0.061381,0.061381,0.013172,-0.029935
HYP-CON-ALL3-CAL-001,listing_close_v1,19,002236,1,-0.052212,-0.052212,0.011205,0.025464
HYP-CON-ALL3-CAL-001,listing_close_v1,20,001280,1,0.044726,0.044726,0.009598,-0.021813
HYP-CON-ALL3-CAL-001,ipo_approx_v1,1,300652,4,0.716887,0.179222,0.116024,-1.152711
HYP-CON-ALL3-CAL-001,ipo_approx_v1,2,300709,3,-0.556963,-0.185654,0.090141,0.895563
HYP-CON-ALL3-CAL-001,ipo_approx_v1,3,002846,5,-0.421928,-0.084386,0.068287,0.678435
HYP-CON-ALL3-CAL-001,ipo_approx_v1,4,688578,1,0.406929,0.406929,0.065859,-0.654317
HYP-CON-ALL3-CAL-001,ipo_approx_v1,5,688689,4,-0.388159,-0.09704,0.062821,0.624136
HYP-CON-ALL3-CAL-001,ipo_approx_v1,6,688589,2,-0.364381,-0.182191,0.058973,0.585903
HYP-CON-ALL3-CAL-001,ipo_approx_v1,7,600262,1,0.261408,0.261408,0.042307,-0.420328
HYP-CON-ALL3-CAL-001,ipo_approx_v1,8,002437,2,0.235066,0.117533,0.038044,-0.377972
HYP-CON-ALL3-CAL-001,ipo_approx_v1,9,603603,1,-0.229104,-0.229104,0.037079,0.368385
HYP-CON-ALL3-CAL-001,ipo_approx_v1,10,603289,2,-0.219095,-0.109547,0.035459,0.352291
HYP-CON-ALL3-CAL-001,ipo_approx_v1,11,002288,1,-0.214564,-0.214564,0.034726,0.345006
HYP-CON-ALL3-CAL-001,ipo_approx_v1,12,600377,4,0.209162,0.052291,0.033852,-0.33632
HYP-CON-ALL3-CAL-001,ipo_approx_v1,13,688418,2,-0.188649,-0.094324,0.030532,0.303336
HYP-CON-ALL3-CAL-001,ipo_approx_v1,14,600256,2,0.168845,0.084422,0.027327,-0.271493
HYP-CON-ALL3-CAL-001,ipo_approx_v1,15,301584,1,0.161496,0.161496,0.026137,-0.259676
HYP-CON-ALL3-CAL-001,ipo_approx_v1,16,000982,1,-0.152645,-0.152645,0.024705,0.245444
HYP-CON-ALL3-CAL-001,ipo_approx_v1,17,300902,3,-0.144136,-0.048045,0.023328,0.231762
HYP-CON-ALL3-CAL-001,ipo_approx_v1,18,000009,1,-0.105617,-0.105617,0.017093,0.169826
HYP-CON-ALL3-CAL-001,ipo_approx_v1,19,601168,1,0.104584,0.104584,0.016926,-0.168165
HYP-CON-ALL3-CAL-001,ipo_approx_v1,20,605055,2,-0.102357,-0.051179,0.016566,0.164584
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,1,300742,3,-1.147772,-0.382591,0.07405,0.180392
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,2,688287,5,-0.983465,-0.196693,0.063449,0.154569
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,3,000606,2,-0.911511,-0.455756,0.058807,0.14326
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,4,300391,3,-0.712252,-0.237417,0.045952,0.111943
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,5,600306,3,-0.641395,-0.213798,0.04138,0.100806
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,6,600819,1,0.617166,0.617166,0.039817,-0.096998
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,7,300117,1,0.57392,0.57392,0.037027,-0.090202
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,8,300576,6,-0.568699,-0.094783,0.03669,0.089381
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,9,000023,3,-0.459843,-0.153281,0.029667,0.072272
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,10,001280,3,0.43085,0.143617,0.027797,-0.067716
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,11,688010,6,0.415225,0.069204,0.026789,-0.06526
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,12,002835,6,0.39012,0.06502,0.025169,-0.061314
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,13,300443,2,-0.38667,-0.193335,0.024946,0.060772
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,14,603003,2,-0.379657,-0.189829,0.024494,0.05967
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,15,688173,3,-0.373068,-0.124356,0.024069,0.058634
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,16,600070,2,0.36025,0.180125,0.023242,-0.05662
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,17,688362,4,0.311847,0.077962,0.020119,-0.049012
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,18,002624,1,-0.275278,-0.275278,0.01776,0.043265
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,19,000976,1,-0.243985,-0.243985,0.015741,0.038347
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,20,603848,3,0.231121,0.07704,0.014911,-0.036325
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,1,002808,4,1.553299,0.388325,0.080699,-0.34049
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,2,002087,2,-1.108656,-0.554328,0.057598,0.243022
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,3,603963,3,-0.969745,-0.323248,0.050382,0.212572
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,4,300029,7,-0.888395,-0.126914,0.046155,0.19474
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,5,000627,4,-0.81911,-0.204778,0.042556,0.179552
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,6,300336,2,-0.776477,-0.388238,0.040341,0.170207
