hypothesis_id,object_id,birth_model,direction_source,partition,horizon,event_count,pool_count,positive_rate,sample_count,eligible_stock_count,coverage_start,coverage_end,mean_return,median_return,std_return,up_rate,mean_excess_return,excess_up_rate,mean_bench_return
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,OOS,5,894,3529,0.25333,827,198,2023-01-03,2026-08-14,-0.019824,-0.020006,0.079566,0.34341,-0.007247,0.395405,-0.012576
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,OOS,10,894,3529,0.25333,823,198,2023-01-03,2026-08-14,-0.016711,-0.014133,0.105178,0.427704,-0.014583,0.415553,-0.002127
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,OOS,20,894,3529,0.25333,813,198,2023-01-03,2026-08-14,-0.011217,0.001754,0.181458,0.506765,-0.01231,0.453875,0.001092
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,OOS,60,894,3529,0.25333,753,198,2023-01-03,2026-08-14,0.009537,-0.023253,0.275034,0.450199,-0.000439,0.447543,0.009977
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,TRAIN,5,2958,10647,0.277825,2957,258,2010-01-04,2020-06-30,0.000322,-0.000715,0.141184,0.490362,-0.000365,0.457897,0.000687
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,TRAIN,10,2958,10647,0.277825,2954,258,2010-01-04,2020-06-30,0.002,-0.004788,0.194317,0.476303,-0.003508,0.425863,0.005508
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,TRAIN,20,2958,10647,0.277825,2950,258,2010-01-04,2020-06-30,0.010668,-0.013208,0.282496,0.451525,0.003799,0.428814,0.006869
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,TRAIN,60,2958,10647,0.277825,2918,258,2010-01-04,2020-06-30,0.029955,-0.019914,0.362605,0.452022,0.02819,0.471556,0.001766
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,VALIDATION,5,2040,5246,0.388868,2039,297,2019-01-02,2022-10-10,0.001479,0.007353,0.100175,0.544875,-0.01214,0.474743,0.01362
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,VALIDATION,10,2040,5246,0.388868,2036,297,2019-01-02,2022-10-10,-0.011066,-0.005798,0.136218,0.467583,-0.0227,0.412083,0.011634
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,VALIDATION,20,2040,5246,0.388868,2033,297,2019-01-02,2022-10-10,-0.054715,-0.050228,0.191862,0.334973,-0.057633,0.319725,0.002919
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,VALIDATION,60,2040,5246,0.388868,1965,297,2019-01-02,2022-10-10,0.019723,-0.01632,0.281201,0.45598,-0.012553,0.409669,0.032276
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,OOS,5,831,3529,0.235477,773,173,2023-01-03,2026-08-14,-0.021919,-0.021505,0.074248,0.347995,-0.007482,0.416559,-0.014438
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,OOS,10,831,3529,0.235477,765,173,2023-01-03,2026-08-14,-0.022224,-0.018764,0.098978,0.389542,-0.017782,0.384314,-0.004442
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,OOS,20,831,3529,0.235477,755,173,2023-01-03,2026-08-14,-0.020977,-0.004566,0.172588,0.486093,-0.019228,0.454305,-0.001749
HYP-ZW-RAW-001,ziwei_raw,listing_open_v1,raw,OOS,60,831,3529,0.235477,686,173,2023-01-03,2026-08-14,-0.022049,-0.028271,0.210195,0.422741,-0.019538,0.437318,-0.002511
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,TRAIN,5,3581,10647,0.336339,3581,256,2010-01-04,2020-06-18,0.004585,0.0,0.134214,0.499023,0.002622,0.462441,0.001963
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,TRAIN,10,3581,10647,0.336339,3580,256,2010-01-04,2020-06-18,0.005505,-0.001307,0.177381,0.49162,-0.001892,0.438827,0.007398
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,TRAIN,20,3581,10647,0.336339,3576,256,2010-01-04,2020-06-18,0.012733,-0.006615,0.238763,0.470358,0.00284,0.428412,0.009893
