hypothesis_id,object_id,birth_model,direction_source,partition,event_count,pool_count,positive_rate,date_count,min_rate,max_rate,std_rate,dates_above_high,dates_below_low,mean_hit_per_date,threshold_high,threshold_low
HYP-CON-BZ-ZW-CAL-001,bazi_ziwei_calibrated,ipo_approx_v1,calibrated,OOS,193,3529,0.05469,16,0.015564,0.125,0.032751,0,6,12.0625,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_open_v1,raw,TRAIN,4788,10647,0.449704,36,0.008969,0.965753,0.305707,11,2,133.0,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_open_v1,raw,VALIDATION,2166,5246,0.412886,16,0.003413,0.826347,0.269918,6,1,135.375,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_open_v1,raw,OOS,1446,3529,0.409748,16,0.054545,0.905512,0.323116,6,0,90.375,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_close_v1,raw,TRAIN,5118,10647,0.480699,36,0.0,0.966777,0.272111,13,3,142.166667,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_close_v1,raw,VALIDATION,2311,5246,0.440526,16,0.015198,0.837838,0.242457,4,2,144.4375,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,listing_close_v1,raw,OOS,1454,3529,0.412015,16,0.006061,0.88,0.280049,4,2,90.875,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,ipo_approx_v1,raw,TRAIN,4805,10647,0.451301,36,0.013453,0.958904,0.307798,11,2,133.472222,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,ipo_approx_v1,raw,VALIDATION,2147,5246,0.409264,16,0.0,0.820359,0.269894,6,1,134.1875,0.6,0.05
HYP-CON-BZ-HL-RAW-001,bazi_huangli_raw,ipo_approx_v1,raw,OOS,1441,3529,0.408331,16,0.048485,0.901575,0.331796,6,1,90.0625,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_open_v1,calibrated,TRAIN,981,10647,0.092139,36,0.0,0.482877,0.111901,0,17,27.25,0.6,0.05
